htf_rule,max_wait_htf_bars,min_gap_atr,min_body_ratio,min_range_atr,touch_tol_atr,sl_buffer_atr,min_rr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
1h,4,0.5,0.5,0.6,0.05,0.05,0.0,50,1.008845255167776,0.46,0.008065909506768392,21,0.9910068644204523,0.38095238095238093,-0.0581136379648885,-11.68892115563358,-630.5648222087693,0.2857142857142857
1h,4,0.5,0.5,0.6,0.05,0.1,0.0,48,0.9831032432936212,0.4791666666666667,0.017384092779605755,21,0.955849500869535,0.38095238095238093,-0.06306897126219488,-58.37829831531417,-645.6035825569634,0.3333333333333333
1h,3,0.5,0.5,0.6,0.05,0.05,0.0,47,0.940284660800876,0.44680851063829785,-0.012523456595819554,20,1.0800592568517724,0.4,-0.02773762575405414,95.47813387560018,-610.8726948101612,0.3
1h,3,0.5,0.5,0.6,0.05,0.1,0.0,45,0.9273678023097092,0.4666666666666667,0.0014458321317656515,20,1.0401523890372013,0.4,-0.033416100484241165,48.78875671591959,-618.3303865131529,0.35
1h,2,0.5,0.5,0.6,0.05,0.05,0.0,43,0.8801370233732004,0.4418604651162791,-0.02528149776108668,15,0.386061566647207,0.3333333333333333,-0.16297693483999603,-468.1853401142216,-704.2704619876968,0.06666666666666667
1h,2,0.5,0.5,0.6,0.05,0.1,0.0,41,0.8849122515932023,0.4634146341463415,-0.00970192891067843,15,0.3674101413567756,0.3333333333333333,-0.16044408955986497,-487.12645234476804,-711.7281536906885,0.06666666666666667
