htf_rule,max_wait_htf_bars,min_gap_atr,min_body_ratio,min_range_atr,touch_tol_atr,sl_buffer_atr,min_rr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
4h,2,0.75,0.5,0.6,0.05,0.05,0.0,15,2.258219472646082,0.6,0.2586124468821984,5,1.9181290601543495,0.6,0.13402928836979647,155.95441227460833,-169.8611001904137,1.2
4h,4,0.75,0.5,0.6,0.05,0.05,0.0,16,2.5664606220973596,0.625,0.30290835262553034,5,1.9181290601543495,0.6,0.13402928836979647,155.95441227460833,-169.8611001904137,1.2
4h,2,0.5,0.5,0.6,0.05,0.05,0.0,24,1.2878370772886272,0.5833333333333334,-0.16655099025145192,9,1.504202650384188,0.6666666666666666,0.15194973324643224,242.95564383304736,-312.0,5.333333333333333
4h,4,0.5,0.5,0.6,0.05,0.05,0.0,27,1.2616083697154628,0.5925925925925926,-0.1444104366773366,11,2.5968411717173,0.7272727272727273,0.2943917953146411,769.4556438330474,-312.0,4.363636363636363
4h,6,0.5,0.5,0.6,0.05,0.05,0.0,27,1.2616083697154628,0.5925925925925926,-0.1444104366773366,11,2.5968411717173,0.7272727272727273,0.2943917953146411,769.4556438330474,-312.0,4.363636363636363
4h,6,0.75,0.5,0.6,0.05,0.05,0.0,16,2.5664606220973596,0.625,0.30290835262553034,6,0.7046776044326432,0.5,-0.06720800892731028,-136.54558772539167,-452.2177693532576,1.0
