fecha_inicio,fecha_fin,operaciones_seguidas,motivos,perdida_total_usd
2026-08-03,2026-08-03,2,SL|SL,-627.99
2026-08-04,2026-08-04,2,SL|SL,-650.5
2026-08-04,2026-08-05,4,SL|sesion|SL|SL,-967.4
2026-08-05,2026-08-05,2,SL|SL,-631.51
2026-08-05,2026-08-06,4,SL|SL|SL|SL,-1155.37
2026-08-06,2026-08-06,2,SL|SL,-631.77
2026-08-07,2026-08-07,6,SL|SL|SL|SL|SL|SL,-1465.97
2026-08-10,2026-08-10,3,SL|SL|SL,-1006.17
2026-08-11,2026-08-11,3,SL|SL|SL,-949.4
2026-08-12,2026-08-12,2,SL|SL,-669.17
2026-08-13,2026-08-13,3,SL|SL|SL,-997.14
2026-08-13,2026-08-13,2,SL|SL,-609.53
2026-08-14,2026-08-14,2,SL|SL,-695.21
2026-08-17,2026-08-17,2,SL|SL,-611.81
2026-08-18,2026-08-18,2,SL|SL,-648.12
2026-08-18,2026-08-18,3,SL|SL|SL,-861.87
2026-08-19,2026-08-19,2,SL|SL,-617.07
2026-08-20,2026-08-20,4,SL|SL|SL|SL,-1290.44
2026-08-21,2026-08-21,2,SL|SL,-606.82
2026-08-24,2026-08-24,5,SL|SL|SL|SL|SL,-1540.94
2026-08-24,2026-08-24,2,SL|SL,-574.12
2026-08-25,2026-08-25,2,SL|SL,-620.12
2026-08-25,2026-08-25,4,SL|SL|SL|SL,-1196.42
2026-08-26,2026-08-26,2,SL|SL,-652.01
2026-08-27,2026-08-27,2,SL|SL,-539.93
2026-08-27,2026-08-27,2,SL|SL,-639.04
2026-08-28,2026-08-28,2,SL|SL,-652.31
2026-08-28,2026-08-28,2,SL|SL,-481.4
2026-08-31,2026-08-31,2,SL|SL,-627.15
2026-08-31,2026-08-31,3,SL|SL|SL,-902.85
2026-08-31,2026-09-01,3,sesion|SL|SL,-866.16
2026-09-02,2026-09-02,3,SL|SL|SL,-910.53
2026-09-03,2026-09-03,2,SL|SL,-615.85
2026-09-04,2026-09-04,2,SL|SL,-650.14
