min_gap_atr,sl_atr_mult,rr_target,min_body_ratio,min_range_atr,max_ifvg_age,clean_break_buffer_atr,touch_tol_atr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.75,0.75,1.5,0.3,0.4,60,0.1,0.05,66,2.7247653686097966,0.6363636363636364,0.5743092182099372,32,2.466534295482217,0.59375,0.48163289056271963,4854.20175367772,-1092.8104160314324,2.75
0.75,0.75,1.5,0.3,0.8,60,0.1,0.05,66,2.7247653686097966,0.6363636363636364,0.5743092182099372,32,2.466534295482217,0.59375,0.48163289056271963,4854.20175367772,-1092.8104160314324,2.75
0.75,0.75,1.5,0.3,0.6,60,0.1,0.05,66,2.7247653686097966,0.6363636363636364,0.5743092182099372,32,2.466534295482217,0.59375,0.48163289056271963,4854.20175367772,-1092.8104160314324,2.75
0.75,0.75,1.5,0.3,0.8,120,0.1,0.05,62,2.4399916107226747,0.6129032258064516,0.5351604084157815,31,2.522403416015693,0.6129032258064516,0.48944701565808063,4624.81548044191,-1385.5976642864262,2.3870967741935485
0.75,0.75,1.5,0.3,0.4,120,0.1,0.05,62,2.4399916107226747,0.6129032258064516,0.5351604084157815,31,2.522403416015693,0.6129032258064516,0.48944701565808063,4624.81548044191,-1385.5976642864262,2.3870967741935485
0.75,0.75,1.5,0.3,0.6,120,0.1,0.05,62,2.4399916107226747,0.6129032258064516,0.5351604084157815,31,2.522403416015693,0.6129032258064516,0.48944701565808063,4624.81548044191,-1385.5976642864262,2.3870967741935485
0.75,0.75,1.5,0.5,0.6,60,0.1,0.05,63,2.3420136627350274,0.6031746031746031,0.4987223559124617,31,2.6964579288315886,0.6129032258064516,0.5236223041767838,5136.439804612732,-1092.8104160314324,2.838709677419355
0.75,0.75,1.5,0.5,0.4,60,0.1,0.05,63,2.3420136627350274,0.6031746031746031,0.4987223559124617,31,2.6964579288315886,0.6129032258064516,0.5236223041767838,5136.439804612732,-1092.8104160314324,2.838709677419355
0.75,0.75,1.5,0.5,0.8,60,0.1,0.05,63,2.3420136627350274,0.6031746031746031,0.4987223559124617,31,2.6964579288315886,0.6129032258064516,0.5236223041767838,5136.439804612732,-1092.8104160314324,2.838709677419355
0.75,0.75,1.5,0.5,0.6,90,0.1,0.05,58,2.31371120418136,0.603448275862069,0.4966430783803261,30,2.518791570378476,0.6,0.49477696613318844,4613.93572904278,-1092.8104160314324,2.466666666666667
