fecha_inicio,fecha_fin,operaciones_seguidas,motivos,ganancia_total_usd
2026-04-01,2026-04-07,4,TP|SL|TP|TP,1275.31
2026-04-23,2026-04-24,2,TP|SL,460.41
2026-04-28,2026-04-28,2,TP|TP,789.6
2026-04-29,2026-04-30,2,TP|TP,785.47
2026-05-07,2026-05-08,2,TP|TP,792.94
2026-05-13,2026-05-13,4,TP|TP|TP|TP,1628.55
2026-05-22,2026-05-25,2,TP|TP,794.6
2026-05-28,2026-06-08,6,TP|sesion|TP|TP|TP|sesion,1496.29
2026-06-10,2026-06-11,3,TP|TP|TP,1063.92
2026-06-16,2026-06-16,2,TP|TP,838.83
2026-06-29,2026-07-07,4,TP|TP|TP|TP,1349.06
2026-07-14,2026-07-15,2,TP|TP,727.9
2026-07-17,2026-07-24,7,TP|TP|TP|TP|TP|TP|TP,2404.19
2026-07-29,2026-08-03,4,TP|TP|TP|TP,1549.12
2026-08-07,2026-08-07,2,TP|TP,715.72
2026-08-11,2026-08-13,3,TP|TP|TP,1159.02
2026-08-17,2026-08-18,3,TP|TP|TP,1152.47
2026-08-20,2026-08-20,2,TP|TP,691.56
