fecha_inicio,fecha_fin,operaciones_seguidas,motivos,ganancia_total_usd
2026-07-15,2026-07-15,3,TP|SL|TP,978.72
2026-07-29,2026-07-29,2,TP|TP,701.95
2026-07-29,2026-07-31,3,TP|TP|TP,1192.38
2026-07-31,2026-08-03,3,TP|TP|TP,1099.01
2026-08-03,2026-08-03,3,TP|TP|TP,1208.61
2026-08-06,2026-08-07,6,SL|TP|TP|TP|TP|TP,2067.6
2026-08-10,2026-08-11,5,TP|SL|TP|TP|TP,2172.28
2026-08-12,2026-08-12,2,TP|TP,778.92
2026-08-19,2026-08-19,4,TP|TP|TP|TP,1583.33
2026-08-21,2026-08-24,3,TP|TP|TP,1246.82
2026-08-26,2026-08-28,7,TP|TP|TP|TP|TP|TP|TP,2884.25
2026-08-31,2026-09-01,2,TP|TP,806.95
2026-09-02,2026-09-04,4,TP|TP|TP|TP,1629.85
