fecha_inicio,fecha_fin,operaciones_seguidas,motivos,perdida_total_usd
2026-08-24,2026-08-25,3,SL|SL|SL,-1032.93
2026-08-31,2026-08-31,2,SL|SL,-696.89
2026-09-02,2026-09-02,2,SL|SL,-694.19
2026-09-04,2026-09-04,2,SL|SL,-650.82
