min_gap_atr,min_body_ratio,min_range_atr,invalidate_buffer_atr,touch_tol_atr,sl_buffer_atr,max_fvg_age,piv_left,piv_right,min_rr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,2.0,51,1.4927932687696965,0.3333333333333333,0.3244081684602471,33,0.6589550316608439,0.18181818181818182,-0.36651320293009415,-2732.7481329422517,-4488.854608805814,5.787878787878788
0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,2.0,50,1.5426805452230752,0.34,0.353805422738543,33,0.6564613571067698,0.18181818181818182,-0.3661624601655715,-2763.1863049705134,-4519.2927808340755,5.7272727272727275
0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,1.0,69,1.0621443258972676,0.3333333333333333,0.022386579364839527,42,0.6058911372802778,0.23809523809523808,-0.3776484732107586,-3700.0388267781673,-5088.741045204952,5.809523809523809
0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,1.0,67,1.1076511294963427,0.34328358208955223,0.055817413698490685,42,0.603909065984004,0.23809523809523808,-0.3773913603898429,-3730.7035244496583,-5119.179217233213,5.761904761904762
0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,1.5,63,1.2360341992719974,0.31746031746031744,0.13508248310858406,37,0.5768285990451337,0.16216216216216217,-0.449221055832211,-3833.5039796747806,-5589.610455538343,5.864864864864865
0.75,0.5,0.6,0.05,0.05,0.1,60,3,2,1.0,69,1.0955782486245622,0.34782608695652173,0.04546157074530321,42,0.5651025960841247,0.23809523809523808,-0.3950871805579049,-3982.854993802197,-5186.789255487107,5.809523809523809
0.75,0.5,0.6,0.05,0.05,0.1,60,3,3,1.0,67,1.1469675287151937,0.3582089552238806,0.07943828214148907,42,0.5634607327737022,0.23809523809523808,-0.39484053958547466,-4009.4092177054554,-5213.343479390365,5.761904761904762
0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,1.5,61,1.2927361147763767,0.32786885245901637,0.17549654389288108,38,0.5634510679736429,0.15789473684210525,-0.4681613795209443,-4048.583654484115,-5804.690130347677,5.7631578947368425
0.75,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,69,1.0371014972919113,0.30434782608695654,0.004389859157718047,41,0.5531029902432956,0.1951219512195122,-0.44580184418104496,-4338.863840899889,-5622.659390397035,6.7073170731707314
0.75,0.5,0.6,0.05,0.05,0.1,60,3,2,1.5,60,1.2827872818168842,0.3333333333333333,0.17654380923076868,37,0.5528476121186253,0.16216216216216217,-0.46768108637833816,-3912.3190390922828,-5588.564227143608,5.864864864864865
