sl_mode,min_gap_atr,min_body_ratio,min_range_atr,invalidate_buffer_atr,touch_tol_atr,sl_buffer_atr,max_fvg_age,piv_left,piv_right,min_rr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
impulse_candle,0.75,0.5,0.6,0.05,0.05,0.1,60,3,3,1.0,56,0.8386050584006436,0.375,-0.08851282798408154,37,0.7223532829390392,0.35135135135135137,-0.21147763279165036,-1865.4970283345974,-2725.609266830019,8.91891891891892
impulse_candle,0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,1.0,58,0.8440761251466224,0.3620689655172414,-0.10590347007966465,40,0.7046459369246137,0.35,-0.22094953225522151,-2212.2446153490528,-3171.6404747858396,8.9
impulse_candle,0.75,0.5,0.6,0.05,0.05,0.1,60,3,2,1.0,57,0.8125227184885863,0.3684210526315789,-0.1060742193406352,37,0.7042386904084164,0.35135135135135137,-0.22334354015309102,-1987.208240673368,-2847.3204791687895,8.891891891891891
impulse_candle,0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,1.0,59,0.8200665337054752,0.3559322033898305,-0.12261619131540774,40,0.6930396977262433,0.35,-0.22693977874485824,-2299.17702421351,-3258.5728836502967,8.95
impulse_candle,0.5,0.5,0.6,0.05,0.05,0.1,60,3,2,1.0,80,0.8132117500912369,0.3,-0.14303196342066074,42,0.6737066135283696,0.30952380952380953,-0.259088119642631,-2768.8038030201205,-4597.79131222453,8.095238095238095
zone,0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,2.0,51,1.4927932687696965,0.3333333333333333,0.3244081684602471,33,0.6589550316608439,0.18181818181818182,-0.36651320293009415,-2732.7481329422517,-4488.854608805814,5.787878787878788
zone,0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,2.0,50,1.5426805452230752,0.34,0.353805422738543,33,0.6564613571067698,0.18181818181818182,-0.3661624601655715,-2763.1863049705134,-4519.2927808340755,5.7272727272727275
impulse_candle,0.5,0.5,0.6,0.05,0.05,0.05,60,3,2,1.0,82,0.7982360773605803,0.2926829268292683,-0.1653670645895991,43,0.6520502778288487,0.3023255813953488,-0.26812288840137055,-3147.777445365704,-4995.279928320888,8.0
impulse_candle,0.5,0.5,0.6,0.05,0.05,0.1,60,5,2,1.0,80,1.0254429308286634,0.3125,0.007844976449134955,41,0.6379079015442554,0.2926829268292683,-0.29424224415773825,-3069.487207835504,-4898.474717039913,9.048780487804878
impulse_candle,0.5,0.5,0.6,0.05,0.05,0.1,60,3,3,1.0,80,0.8132029048121404,0.3,-0.14303152437104172,42,0.6290315289870095,0.2857142857142857,-0.30514308147219565,-3240.8874343343196,-4811.184515225425,9.333333333333334
impulse_candle,0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,85,0.8031847120274735,0.27058823529411763,-0.1655667666934299,42,0.6153231024937978,0.2857142857142857,-0.3066561818269381,-3472.9186220359843,-5320.421104991168,8.904761904761905
impulse_candle,0.75,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,62,0.82064101065804,0.3387096774193548,-0.1283465890846644,39,0.6103379106376626,0.3076923076923077,-0.2980264991958541,-3053.4484440252636,-4012.8443034620504,9.948717948717949
