min_gap_atr,min_body_ratio,min_range_atr,invalidate_buffer_atr,touch_tol_atr,sl_buffer_atr,max_fvg_age,piv_left,piv_right,min_rr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
1.0,0.5,0.6,0.05,0.05,0.05,60,5,3,1.0,56,1.284419172170552,0.4107142857142857,0.1677706391273707,25,0.7135234012588358,0.32,-0.22699489356002764,-1528.2094159847402,-2138.8143875771348,3.8
1.0,0.5,0.6,0.05,0.05,0.1,60,3,2,1.0,56,1.1577864619612663,0.39285714285714285,0.08708701840434963,24,0.710281888498862,0.3333333333333333,-0.21359331515941135,-1420.5168122723408,-1853.4245078815657,4.083333333333333
1.0,0.5,0.6,0.05,0.05,0.05,60,3,3,1.0,56,1.2166048684962394,0.4107142857142857,0.12714792850466008,25,0.7088369264252057,0.32,-0.23084104740618144,-1553.2094159847402,-2163.8143875771348,3.76
0.5,0.5,0.6,0.05,0.05,0.05,60,3,3,1.0,64,0.7073082576916431,0.265625,-0.24926227368948267,40,0.70275762148539,0.2,-0.2289233424390061,-3101.002292795114,-4955.3630808090165,4.65
0.5,0.5,0.6,0.05,0.05,0.05,60,5,3,1.0,64,0.7155180337665386,0.265625,-0.24205073522794418,40,0.70275762148539,0.2,-0.2289233424390061,-3101.002292795114,-4955.3630808090165,4.65
0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,64,0.7007609013201915,0.265625,-0.24805105148477347,41,0.6951503418082117,0.1951219512195122,-0.258912007778035,-3215.169664208901,-5069.530452222803,4.585365853658536
0.5,0.5,0.6,0.05,0.05,0.05,60,3,2,1.0,64,0.6926675361666619,0.265625,-0.2552625899463119,41,0.6951503418082117,0.1951219512195122,-0.258912007778035,-3215.169664208901,-5069.530452222803,4.585365853658536
0.5,0.5,0.6,0.05,0.05,0.1,60,3,3,1.5,55,0.8851235901174765,0.2545454545454545,-0.09156902503575308,35,0.6805709035830493,0.17142857142857143,-0.23834653819998997,-2945.9570858336156,-4880.553599208215,5.571428571428571
0.5,0.5,0.6,0.05,0.05,0.1,60,5,3,1.5,55,0.8851872098184126,0.2545454545454545,-0.09160772762350362,35,0.6805709035830493,0.17142857142857143,-0.23834653819998997,-2945.9570858336156,-4880.553599208215,5.571428571428571
0.75,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,88,0.957040624689041,0.3181818181818182,-0.028897391988387457,42,0.6739159063040565,0.2619047619047619,-0.2476711262233961,-3235.043842351166,-3578.4665838932196,5.880952380952381
0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,1.0,88,0.8847608100440445,0.3181818181818182,-0.08301871781703031,42,0.6739159063040565,0.2619047619047619,-0.2476711262233961,-3235.043842351166,-3578.4665838932196,5.880952380952381
0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,1.0,88,0.88907215397257,0.3181818181818182,-0.09006052964415927,42,0.6734474124897255,0.2619047619047619,-0.2626162242656616,-3241.9454573478943,-3486.192366176634,5.833333333333333
0.75,0.5,0.6,0.05,0.05,0.05,60,5,3,1.0,88,0.9617043081726105,0.3181818181818182,-0.035939203815516366,42,0.6734474124897255,0.2619047619047619,-0.2626162242656616,-3241.9454573478943,-3486.192366176634,5.833333333333333
0.5,0.5,0.6,0.05,0.05,0.1,60,3,2,1.5,55,0.857307178996727,0.2545454545454545,-0.11612568323655754,36,0.6685095381061655,0.16666666666666666,-0.2694625866946714,-3112.352292915726,-5047.043914021269,5.416666666666667
0.5,0.5,0.6,0.05,0.05,0.1,60,5,2,1.5,55,0.8573707977222361,0.2545454545454545,-0.11616438582430809,36,0.6685095381061655,0.16666666666666666,-0.2694625866946714,-3112.352292915726,-5047.043914021269,5.416666666666667
1.0,0.5,0.6,0.05,0.05,0.1,60,5,3,1.0,56,1.2239135743403888,0.39285714285714285,0.10906921102763947,25,0.6611003519638056,0.32,-0.24376563976665497,-1798.0910671040183,-2143.1868046594172,3.92
1.0,0.5,0.6,0.05,0.05,0.1,60,3,3,1.0,56,1.1633512930424872,0.39285714285714285,0.07017407468164613,25,0.6563884153128157,0.32,-0.2474718147439302,-1823.0910671040183,-2168.1868046594172,3.88
0.75,0.5,0.6,0.05,0.05,0.1,60,3,2,1.0,88,0.9156577339867096,0.32954545454545453,-0.07420729752731771,42,0.6243440312949442,0.2619047619047619,-0.27406570943214187,-3662.4102815628066,-3785.963783469837,6.0
0.75,0.5,0.6,0.05,0.05,0.1,60,5,2,1.0,88,0.9846831030221269,0.32954545454545453,-0.022492907364542236,42,0.6243440312949442,0.2619047619047619,-0.27406570943214187,-3662.4102815628066,-3785.963783469837,6.0
0.75,0.5,0.6,0.05,0.05,0.1,60,5,3,1.0,88,0.9897381513126008,0.32954545454545453,-0.027133482932425557,42,0.6240259027355003,0.2619047619047619,-0.28491834653929954,-3667.380514494682,-3703.122058347886,5.9523809523809526
0.75,0.5,0.6,0.05,0.05,0.1,60,3,3,1.0,88,0.9203584280969695,0.32954545454545453,-0.07884787309520101,42,0.6240259027355003,0.2619047619047619,-0.28491834653929954,-3667.380514494682,-3703.122058347886,5.9523809523809526
0.5,0.5,0.6,0.05,0.05,0.05,60,5,3,1.5,61,0.7885742659908224,0.2459016393442623,-0.18910868260063338,37,0.6003033001465337,0.13513513513513514,-0.34690335121110827,-4169.664451828648,-6024.025239842551,4.945945945945946
0.5,0.5,0.6,0.05,0.05,0.05,60,3,3,1.5,61,0.788517319706448,0.2459016393442623,-0.18916007216309041,37,0.6003033001465337,0.13513513513513514,-0.34690335121110827,-4169.664451828648,-6024.025239842551,4.945945945945946
0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,1.5,61,0.7789822823591322,0.2459016393442623,-0.1965971659667599,38,0.5882727089435201,0.13157894736842105,-0.3746190498624222,-4383.007655955749,-6237.368443969652,4.842105263157895
0.5,0.5,0.6,0.05,0.05,0.05,60,3,2,1.5,61,0.778925685890109,0.2459016393442623,-0.19664855552921698,38,0.5882727089435201,0.13157894736842105,-0.3746190498624222,-4383.007655955749,-6237.368443969652,4.842105263157895
0.5,0.5,0.6,0.05,0.05,0.1,60,3,3,2.0,52,0.9722990867623583,0.25,-0.029930494912201164,33,0.4999958995609856,0.12121212121212122,-0.5000517620431968,-4594.373903960106,-4907.734851019428,5.0
0.5,0.5,0.6,0.05,0.05,0.1,60,5,3,2.0,52,1.3253134655628533,0.25,0.2603294619059635,33,0.4999958995609856,0.12121212121212122,-0.5000517620431968,-4594.373903960106,-4907.734851019428,5.0
0.5,0.5,0.6,0.05,0.05,0.1,60,5,2,2.0,52,1.303047662195428,0.25,0.23083729967244274,34,0.49110306107446977,0.11764705882352941,-0.5253010233568793,-4760.7613417596585,-5074.225165832482,4.852941176470588
0.5,0.5,0.6,0.05,0.05,0.1,60,3,2,2.0,52,0.9480564913128764,0.25,-0.059422657145721924,34,0.49110306107446977,0.11764705882352941,-0.5253010233568793,-4760.7613417596585,-5074.225165832482,4.852941176470588
0.5,0.5,0.6,0.05,0.05,0.05,60,3,3,2.0,58,0.837866339539868,0.22413793103448276,-0.1385189084385059,33,0.44871237929402064,0.09090909090909091,-0.5841016151353671,-5408.40720293601,-5744.453988422916,4.636363636363637
0.5,0.5,0.6,0.05,0.05,0.05,60,5,3,2.0,58,1.1491244066539867,0.22413793103448276,0.13647996236355608,33,0.44871237929402064,0.09090909090909091,-0.5841016151353671,-5408.40720293601,-5744.453988422916,4.636363636363637
0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,2.0,58,1.1497409763183422,0.22413793103448276,0.11376014165991206,34,0.44164841511273595,0.08823529411764706,-0.6092960631898621,-5565.321658482746,-5901.368443969652,4.5
0.5,0.5,0.6,0.05,0.05,0.05,60,3,2,2.0,58,0.8369952838131517,0.22413793103448276,-0.16123872914214993,34,0.44164841511273595,0.08823529411764706,-0.6092960631898621,-5565.321658482746,-5901.368443969652,4.5
0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,2.0,72,0.9921491119950263,0.2361111111111111,-0.03360968906634465,31,0.36417667742135845,0.0967741935483871,-0.6553902891362687,-5894.400111965297,-5648.984861760502,7.548387096774194
0.75,0.5,0.6,0.05,0.05,0.05,60,5,3,2.0,70,0.9445312129853752,0.21428571428571427,-0.06480482206305074,31,0.36417667742135845,0.0967741935483871,-0.6553902891362687,-5894.400111965297,-5648.984861760502,7.548387096774194
0.75,0.5,0.6,0.05,0.05,0.05,60,5,2,2.0,70,0.9483556651796218,0.21428571428571427,-0.06825410220784288,31,0.36417667742135845,0.0967741935483871,-0.6553902891362687,-5894.400111965297,-5648.984861760502,7.548387096774194
0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,2.0,72,0.9881351726320159,0.2361111111111111,-0.030256222258907856,31,0.36417667742135845,0.0967741935483871,-0.6553902891362687,-5894.400111965297,-5648.984861760502,7.548387096774194
0.75,0.5,0.6,0.05,0.05,0.1,60,3,2,2.0,68,1.2216481998206297,0.29411764705882354,0.14440862413421657,31,0.33869386364962906,0.0967741935483871,-0.6639680930086425,-5978.847310633901,-5657.412588822619,7.612903225806452
0.75,0.5,0.6,0.05,0.05,0.1,60,5,2,2.0,66,1.1582950909728797,0.2727272727272727,0.09885911641800998,31,0.33869386364962906,0.0967741935483871,-0.6639680930086425,-5978.847310633901,-5657.412588822619,7.612903225806452
0.75,0.5,0.6,0.05,0.05,0.1,60,5,3,2.0,66,1.1528601958082674,0.2727272727272727,0.10162697749686003,31,0.338659837072808,0.0967741935483871,-0.6639676649929889,-5979.755694630912,-5658.218095806129,7.612903225806452
0.75,0.5,0.6,0.05,0.05,0.1,60,3,3,2.0,68,1.2159023465468854,0.29411764705882354,0.14709507753427686,31,0.338659837072808,0.0967741935483871,-0.6639676649929889,-5979.755694630912,-5658.218095806129,7.612903225806452
