min_gap_atr,min_body_ratio,min_range_atr,invalidate_buffer_atr,touch_tol_atr,sl_buffer_atr,max_fvg_age,piv_left,piv_right,min_rr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.75,0.5,0.6,0.05,0.05,0.05,60,5,3,1.5,85,1.0418592240940934,0.2823529411764706,0.0096159947996263,35,0.8580295199372343,0.22857142857142856,-0.10600753310160034,-1235.6102353353563,-2899.7898303160473,8.2
0.75,0.5,0.6,0.05,0.05,0.05,60,5,2,1.5,85,1.0368587153181632,0.2823529411764706,0.016904259568357845,35,0.8490279366052755,0.22857142857142856,-0.08640602341150586,-1327.8844530519418,-2992.064048032633,8.228571428571428
0.75,0.5,0.6,0.05,0.05,0.1,60,5,2,1.5,82,1.1176634547045365,0.3048780487804878,0.07970352804801023,33,0.8460244858714338,0.24242424242424243,-0.052435403886470444,-1240.6310496760125,-2545.7163858359854,8.484848484848484
0.75,0.5,0.6,0.05,0.05,0.1,60,5,3,1.5,82,1.1235556788895538,0.3048780487804878,0.07472435270360235,33,0.8457710161064241,0.24242424242424243,-0.05241424598439038,-1243.0457561548901,-2547.117150018683,8.484848484848484
0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,1.5,85,0.9764981686069347,0.2823529411764706,-0.04102251078498539,35,0.8347050065684053,0.22857142857142856,-0.12573542425806292,-1438.6102353353563,-2899.7898303160473,8.2
0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,1.5,85,0.9718113668309611,0.2823529411764706,-0.03373424601625385,35,0.8259481205876312,0.22857142857142856,-0.10613391456796845,-1530.8844530519418,-2992.064048032633,8.228571428571428
0.75,0.5,0.6,0.05,0.05,0.1,60,3,2,1.5,82,1.0536921953480378,0.3048780487804878,0.029601754530324636,33,0.8226296301479579,0.24242424242424243,-0.07203705644048561,-1429.1310496760125,-2545.7163858359854,8.484848484848484
0.75,0.5,0.6,0.05,0.05,0.1,60,3,3,1.5,82,1.0592471686370546,0.3048780487804878,0.024622579185916753,33,0.8223831695046482,0.24242424242424243,-0.07201589853840555,-1431.5457561548901,-2547.117150018683,8.484848484848484
1.0,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,56,1.272463972952947,0.4107142857142857,0.17883975837350083,24,0.7712341590943276,0.3333333333333333,-0.19224283647100915,-1129.0335832714263,-1838.8143875771348,4.0
1.0,0.5,0.6,0.05,0.05,0.05,60,3,2,1.0,56,1.2052812885801685,0.4107142857142857,0.13821704775079022,24,0.7661686357056695,0.3333333333333333,-0.1962492467274194,-1154.0335832714263,-1863.8143875771348,3.9583333333333335
0.5,0.5,0.6,0.05,0.05,0.1,60,5,3,1.0,58,0.7957995092936122,0.27586206896551724,-0.1753514951463163,40,0.7436542552132935,0.225,-0.1783040762704984,-2519.770213326061,-4181.111671347637,5.0
0.5,0.5,0.6,0.05,0.05,0.1,60,3,3,1.0,58,0.7865590365894652,0.27586206896551724,-0.18294446520748428,40,0.7436542552132935,0.225,-0.1783040762704984,-2519.770213326061,-4181.111671347637,5.0
0.5,0.5,0.6,0.05,0.05,0.1,60,3,2,1.0,58,0.7532121346714258,0.27586206896551724,-0.20521478297802628,41,0.7337940384789975,0.21951219512195122,-0.20751310694749053,-2651.8532688338673,-4313.289834586387,4.926829268292683
0.5,0.5,0.6,0.05,0.05,0.1,60,5,2,1.0,58,0.7623805607732461,0.27586206896551724,-0.19762181291685826,41,0.7337940384789975,0.21951219512195122,-0.20751310694749053,-2651.8532688338673,-4313.289834586387,4.926829268292683
1.0,0.5,0.6,0.05,0.05,0.1,60,5,2,1.0,56,1.2177850079285863,0.39285714285714285,0.125982154750343,24,0.7153807037504338,0.3333333333333333,-0.20973271622474965,-1395.5168122723408,-1828.4245078815657,4.125
