sl_mode,min_gap_atr,min_body_ratio,min_range_atr,invalidate_buffer_atr,touch_tol_atr,sl_buffer_atr,max_fvg_age,piv_left,piv_right,min_rr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
impulse_candle,0.75,0.5,0.6,0.05,0.05,0.05,60,5,3,1.0,73,1.0215283214520354,0.3698630136986301,0.018262245736142598,36,0.8624064186890601,0.3333333333333333,-0.015762637638141452,-1033.5341860171247,-2562.5,8.63888888888889
impulse_candle,0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,1.0,78,0.9219376953986701,0.3717948717948718,-0.04720606086829936,36,0.8624064186890601,0.3333333333333333,-0.015762637638141452,-1033.5341860171247,-2562.5,8.63888888888889
zone,0.75,0.5,0.6,0.05,0.05,0.05,60,5,3,1.5,85,1.0418592240940934,0.2823529411764706,0.0096159947996263,35,0.8580295199372343,0.22857142857142856,-0.10600753310160034,-1235.6102353353563,-2899.7898303160473,8.2
zone,0.75,0.5,0.6,0.05,0.05,0.05,60,5,2,1.5,85,1.0368587153181632,0.2823529411764706,0.016904259568357845,35,0.8490279366052755,0.22857142857142856,-0.08640602341150586,-1327.8844530519418,-2992.064048032633,8.228571428571428
zone,0.75,0.5,0.6,0.05,0.05,0.1,60,5,2,1.5,82,1.1176634547045365,0.3048780487804878,0.07970352804801023,33,0.8460244858714338,0.24242424242424243,-0.052435403886470444,-1240.6310496760125,-2545.7163858359854,8.484848484848484
zone,0.75,0.5,0.6,0.05,0.05,0.1,60,5,3,1.5,82,1.1235556788895538,0.3048780487804878,0.07472435270360235,33,0.8457710161064241,0.24242424242424243,-0.05241424598439038,-1243.0457561548901,-2547.117150018683,8.484848484848484
impulse_candle,0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,1.0,78,0.9170726753146633,0.3717948717948718,-0.04587261371778943,36,0.8364321108256709,0.3333333333333333,-0.07083919273578357,-1228.6401995329725,-2731.7108585744863,8.38888888888889
impulse_candle,0.75,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,77,0.9574250425774457,0.36363636363636365,-0.020448273700100973,36,0.8364321108256709,0.3333333333333333,-0.07083919273578357,-1228.6401995329725,-2731.7108585744863,8.38888888888889
zone,0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,1.5,85,0.9764981686069347,0.2823529411764706,-0.04102251078498539,35,0.8347050065684053,0.22857142857142856,-0.12573542425806292,-1438.6102353353563,-2899.7898303160473,8.2
zone,0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,1.5,85,0.9718113668309611,0.2823529411764706,-0.03373424601625385,35,0.8259481205876312,0.22857142857142856,-0.10613391456796845,-1530.8844530519418,-2992.064048032633,8.228571428571428
