sl_mode,min_gap_atr,min_body_ratio,min_range_atr,invalidate_buffer_atr,touch_tol_atr,sl_buffer_atr,max_fvg_age,piv_left,piv_right,min_rr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
zone,0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,2.0,101,1.0826002664681362,0.24752475247524752,0.04307310607562137,33,1.2918733929481225,0.30303030303030304,0.17073948409247736,1819.9772495713478,-2789.1100474119303,6.303030303030303
zone,0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,1.5,113,1.066706592824648,0.25663716814159293,0.02433419809787429,37,1.0576264499403367,0.2972972972972973,-0.02456199941185888,391.0789095070795,-2789.1100474119303,5.027027027027027
zone,0.5,0.5,0.6,0.05,0.05,0.1,60,5,2,1.0,120,1.053867969628467,0.26666666666666666,-0.020664319306535308,36,1.2613513330005086,0.3611111111111111,0.13276120101173675,1579.9724055795014,-2736.965308552659,5.388888888888889
zone,0.5,0.5,0.6,0.05,0.05,0.05,60,5,3,2.0,103,1.0517587123976435,0.23300970873786409,0.008784452897423396,33,1.2918733929481225,0.30303030303030304,0.17073948409247736,1819.9772495713478,-2789.1100474119303,6.303030303030303
zone,0.5,0.5,0.6,0.05,0.05,0.1,60,5,2,1.5,111,1.0493410092532183,0.26126126126126126,-0.005191428988710286,37,1.1723907530903577,0.32432432432432434,0.09630196984306996,1145.4135300803246,-2933.6048810245557,5.1891891891891895
zone,0.5,0.5,0.6,0.05,0.05,0.1,60,5,3,1.0,120,1.0491915413771062,0.26666666666666666,-0.020457482801168235,37,1.312882476094695,0.3783783783783784,0.15905639097096502,1892.7046511687367,-2424.2330629634234,5.621621621621622
zone,0.75,0.5,0.6,0.05,0.05,0.1,60,5,2,1.0,71,1.3279536181051366,0.38028169014084506,0.16003951240325975,27,1.047965723243426,0.37037037037037035,-0.024231712475398067,193.47691425251105,-1997.3869046664986,7.814814814814815
zone,0.5,0.5,0.6,0.05,0.05,0.1,60,5,3,1.5,111,1.0435585464604533,0.26126126126126126,-0.0049365187334392355,37,1.1723907530903577,0.32432432432432434,0.09630196984306996,1145.4135300803246,-2933.6048810245557,5.1891891891891895
zone,0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,123,1.0411683348589196,0.2601626016260163,0.0006233883449349255,37,1.1547401827556099,0.32432432432432434,0.0438290637737235,1008.820584551504,-2718.5024251725117,5.621621621621622
zone,0.75,0.5,0.6,0.05,0.05,0.1,60,3,2,1.0,71,1.304908980274855,0.38028169014084506,0.14871387825530036,27,1.0392536956675917,0.4074074074074074,0.0016338628016484599,152.09205142705468,-1997.3869046664986,7.0
