length,mode,sl_atr_mult,rr_target,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_return_pct,test_buy_hold_pct,test_max_drawdown_pct,test_avg_bars_held
8,Hma,2.0,1.0,460,1.0309734513274336,0.5076252723311547,0.015250544662309368,173,1.072289156626506,0.5174418604651163,0.03488372093023256,5.274555954296445,1.3473041045576561,-11.370376677104222,12.947976878612717
13,Ehma,1.5,1.0,513,1.011764705882353,0.5029239766081871,0.005847953216374269,203,1.02,0.504950495049505,0.009900990099009901,0.9949330399066536,1.3473041045576561,-16.890091084648652,6.970443349753695
13,Hma,1.0,2.0,608,1.002469135802469,0.3338815789473684,0.001644736842105263,261,1.0588235294117647,0.34615384615384615,0.038461538461538464,7.646159518972917,1.3473041045576561,-14.122236876847417,5.8773946360153255
13,Thma,2.0,1.0,447,1.0,0.5,0.0,159,1.0256410256410255,0.5063291139240507,0.012658227848101266,1.2173776143167503,1.3473041045576561,-12.57199673086612,14.20125786163522
20,Thma,0.75,2.0,761,1.0318725099601593,0.3403416557161629,0.02102496714848883,333,1.0,0.3333333333333333,0.0,-3.25416746710816,1.3473041045576561,-28.495082635506673,3.126126126126126
20,Ehma,1.0,1.5,541,1.160655737704918,0.43622920517560076,0.09057301293900184,215,1.0,0.4,0.0,-1.5944174826404867,1.3473041045576561,-23.054837574593712,5.213953488372093
20,Thma,1.5,1.0,559,1.0144404332129964,0.503584229390681,0.007168458781362007,225,1.0,0.5,0.0,-1.1138067300256682,1.3473041045576561,-12.807745722974884,6.928888888888889
20,Ehma,1.5,1.0,456,0.9912663755458515,0.49780701754385964,-0.0043859649122807015,169,1.0,0.5,0.0,-0.836523509135767,1.3473041045576561,-17.597673168516202,7.733727810650888
13,Ehma,0.75,2.0,714,1.1179039301310043,0.3585434173669468,0.07563025210084033,308,0.9902912621359223,0.33116883116883117,-0.006493506493506494,-4.9247213763333075,1.3473041045576561,-30.177429238358854,3.116883116883117
8,Thma,2.5,1.0,359,0.9888888888888889,0.4972067039106145,-0.00558659217877095,132,1.0793650793650793,0.5190839694656488,0.03816793893129771,4.440917133652045,1.3473041045576561,-9.904822669293711,19.46212121212121
13,Hma,1.0,1.5,691,0.9856115107913669,0.39652677279305354,-0.008683068017366137,285,1.0508982035928143,0.4119718309859155,0.02992957746478873,6.562509883068102,1.3473041045576561,-19.778667919285574,4.684210526315789
13,Thma,2.5,1.0,306,0.987012987012987,0.49673202614379086,-0.006535947712418301,120,0.9833333333333333,0.4957983193277311,-0.008403361344537815,-1.582409323890288,1.3473041045576561,-9.715414517385357,20.725
13,Hma,2.5,2.0,175,1.1636363636363636,0.367816091954023,0.10344827586206896,68,0.9777777777777777,0.3283582089552239,-0.014925373134328358,-1.6470171702582914,1.3473041045576561,-9.750278026941483,39.161764705882355
13,Hma,1.5,1.0,561,0.9753521126760564,0.49376114081996436,-0.012477718360071301,224,0.9910714285714286,0.4977578475336323,-0.004484304932735426,-2.0928779505205775,1.3473041045576561,-13.783195711393592,7.272321428571429
13,Hma,0.75,1.5,811,1.1105150214592274,0.4254007398273736,0.06350184956843404,353,0.9742990654205608,0.3937677053824363,-0.015580736543909348,-7.804119458592329,1.3473041045576561,-26.00849378626404,2.5637393767705383
8,Thma,1.5,1.0,737,0.9731903485254692,0.49320652173913043,-0.01358695652173913,305,1.0132450331125828,0.5032894736842105,0.006578947368421052,0.4811444661016129,1.3473041045576561,-23.509915444775388,6.583606557377049
20,Thma,1.0,1.5,694,0.9809069212410502,0.3953823953823954,-0.011544011544011544,306,0.972972972972973,0.39344262295081966,-0.01639344262295082,-7.01003795383418,1.3473041045576561,-26.08987302148599,4.03921568627451
20,Hma,0.75,1.5,699,0.972877358490566,0.39341917024320455,-0.016452074391988557,282,1.0178571428571428,0.40425531914893614,0.010638297872340425,0.8884637059050959,1.3473041045576561,-24.5876222013643,2.301418439716312
20,Hma,0.75,2.0,665,1.0504587155963303,0.3443609022556391,0.03308270676691729,269,0.9723756906077348,0.3271375464684015,-0.01858736059479554,-7.362817626516216,1.3473041045576561,-28.595622733201886,3.349442379182156
20,Hma,1.0,1.5,603,1.0125,0.40298507462686567,0.007462686567164179,247,0.97,0.39271255060728744,-0.018218623481781375,-6.1389760296449385,1.3473041045576561,-18.33491576223456,4.465587044534413
13,Thma,1.5,1.0,626,0.9716088328075709,0.4928,-0.0144,259,0.9694656488549618,0.49224806201550386,-0.015503875968992248,-5.15270212886314,1.3473041045576561,-13.0428590195947,7.111969111969112
13,Hma,0.75,1.0,876,1.013793103448276,0.5034246575342466,0.00684931506849315,387,0.9644670050761421,0.4909560723514212,-0.01808785529715762,-8.547758522663063,1.3473041045576561,-18.55620994491015,1.5917312661498708
13,Hma,2.5,1.5,215,1.0476190476190477,0.411214953271028,0.028037383177570093,88,0.9622641509433962,0.39080459770114945,-0.022988505747126436,-2.610810810551889,1.3473041045576561,-11.59313033780478,28.477272727272727
34,Thma,1.0,1.5,523,0.9669811320754716,0.3919694072657744,-0.020076481835564052,210,0.9609375,0.3904761904761905,-0.023809523809523808,-6.3472848282474015,1.3473041045576561,-17.078950847429397,5.3238095238095235
8,Thma,3.0,1.0,257,1.1333333333333333,0.53125,0.0625,101,0.9607843137254902,0.49,-0.02,-2.4690982060614264,1.3473041045576561,-11.609365829184327,26.782178217821784
13,Ehma,0.75,1.5,758,1.1018306636155606,0.4234828496042216,0.05870712401055409,318,0.9587628865979382,0.389937106918239,-0.025157232704402517,-9.839358968924728,1.3473041045576561,-29.554393643748313,2.430817610062893
8,Thma,0.75,1.0,1507,0.9583875162548765,0.4893758300132802,-0.021248339973439574,651,0.9696969696969697,0.49230769230769234,-0.015384615384615385,-12.410140917183178,1.3473041045576561,-37.011359011375035,1.4577572964669738
13,Ehma,0.75,1.0,795,1.0025188916876575,0.5006289308176101,0.0012578616352201257,346,0.9548022598870056,0.4884393063583815,-0.023121387283236993,-9.271942424835489,1.3473041045576561,-25.398530750343397,1.5635838150289016
8,Hma,1.5,1.5,530,0.9952830188679245,0.3988657844990548,-0.002835538752362949,199,0.9545454545454546,0.3888888888888889,-0.027777777777777776,-6.7296085455074035,1.3473041045576561,-16.984180617711186,10.919597989949748
20,Hma,0.75,1.0,727,0.9543010752688172,0.48830811554332876,-0.023383768913342505,295,0.9536423841059603,0.488135593220339,-0.023728813559322035,-8.126088029439394,1.3473041045576561,-28.791748198127674,1.528813559322034
13,Thma,2.0,1.5,344,0.95,0.3877551020408163,-0.030612244897959183,123,1.0416666666666667,0.4098360655737705,0.02459016393442623,2.1024406329710477,1.3473041045576561,-11.297078637993296,20.073170731707318
13,Hma,2.0,1.0,386,0.9444444444444444,0.4857142857142857,-0.02857142857142857,156,1.0945945945945945,0.5225806451612903,0.04516129032258064,6.4230439500367,1.3473041045576561,-12.510772641391076,13.038461538461538
8,Hma,0.75,2.0,929,1.0081037277147489,0.33512931034482757,0.005387931034482759,416,0.9432624113475178,0.3204819277108434,-0.03855421686746988,-18.1633730439003,1.3473041045576561,-34.50357253205516,3.2235576923076925
55,Hma,2.0,1.0,242,1.0166666666666666,0.5041322314049587,0.008264462809917356,102,0.9423076923076923,0.48514851485148514,-0.0297029702970297,-3.444407224000934,1.3473041045576561,-13.177530442418506,13.470588235294118
8,Thma,2.0,1.0,492,0.9407114624505929,0.4847250509164969,-0.03054989816700611,174,1.1358024691358024,0.5317919075144508,0.06358381502890173,10.666748570826856,1.3473041045576561,-16.740351035861668,13.833333333333334
13,Hma,2.5,1.0,288,0.9391891891891891,0.4843205574912892,-0.0313588850174216,103,0.9615384615384616,0.49019607843137253,-0.0196078431372549,-2.478851296240958,1.3473041045576561,-11.565157250409586,23.116504854368934
13,Ehma,1.0,1.5,647,1.0405759162303665,0.4095826893353941,0.023956723338485315,276,0.9352941176470588,0.38405797101449274,-0.03985507246376811,-12.222428753824943,1.3473041045576561,-30.595461717978555,4.195652173913044
20,Hma,1.0,1.0,660,0.9642857142857143,0.4909090909090909,-0.01818181818181818,267,0.9347826086956522,0.48314606741573035,-0.033707865168539325,-9.81920232996617,1.3473041045576561,-22.07383970187945,2.9812734082397006
