length,mode,sl_atr_mult,rr_target,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_return_pct,test_buy_hold_pct,test_max_drawdown_pct,test_avg_bars_held
15,Ehma,1.0,2.0,572,1.1546961325966851,0.3660245183887916,0.09807355516637478,246,1.1818181818181819,0.37142857142857144,0.11428571428571428,28.95423171505449,-0.11586995500524333,-16.256588459255628,6.170731707317073
15,Ehma,1.25,1.5,503,1.1421052631578947,0.43227091633466136,0.08067729083665338,236,1.150375939849624,0.4340425531914894,0.0851063829787234,19.954678447017947,-0.11586995500524333,-9.1231671927403,6.711864406779661
10,Ehma,1.25,1.5,572,1.1353846153846154,0.4308231173380035,0.07705779334500876,253,1.2591240875912408,0.45634920634920634,0.14087301587301587,39.835203420982566,-0.11586995500524333,-11.593130337804746,6.810276679841897
20,Hma,1.25,1.5,504,1.1289198606271778,0.4294234592445328,0.073558648111332,235,1.2421875,0.452991452991453,0.13247863247863248,33.87681968280827,-0.11586995500524333,-9.225014608064052,7.034042553191489
15,Hma,1.25,1.0,702,1.1272727272727272,0.5299145299145299,0.05982905982905983,302,1.2043795620437956,0.5463576158940397,0.09271523178807947,30.33118200572997,-0.11586995500524333,-8.849038164213018,4.254966887417218
8,Hma,1.25,1.5,658,1.1140583554376657,0.426179604261796,0.0654490106544901,284,1.238709677419355,0.45229681978798586,0.13074204946996468,41.61477625454464,-0.11586995500524333,-14.026306011008383,6.964788732394366
26,Thma,1.25,1.5,510,1.10580204778157,0.4243614931237721,0.060903732809430254,238,1.1729323308270676,0.4388185654008439,0.0970464135021097,23.580308603078937,-0.11586995500524333,-11.72521136288328,6.697478991596639
26,Thma,1.0,2.0,577,1.105121293800539,0.3559027777777778,0.06770833333333333,253,1.3157894736842106,0.3968253968253968,0.19047619047619047,57.241346816713914,-0.11586995500524333,-8.838664673678231,6.055335968379446
20,Hma,1.5,1.0,512,1.1291666666666667,0.5303326810176126,0.060665362035225046,230,1.1009174311926606,0.5240174672489083,0.048034934497816595,10.357299632820505,-0.11586995500524333,-9.904822669293756,6.143478260869565
10,Ehma,1.0,2.0,632,1.1007371007371007,0.3549920760697306,0.06497622820919176,291,1.118279569892473,0.3586206896551724,0.07586206896551724,20.938355371638817,-0.11586995500524333,-25.22217338887588,5.745704467353952
13,Thma,1.25,1.5,644,1.092741935483871,0.4214618973561431,0.053654743390357695,288,1.0933734939759037,0.42160278745644597,0.05400696864111498,14.244003891923885,-0.11586995500524333,-15.486603717873548,6.809027777777778
10,Thma,1.25,2.0,575,1.0777479892761395,0.3501742160278746,0.050522648083623695,245,1.1483870967741936,0.36475409836065575,0.0942622950819672,22.707313915709303,-0.11586995500524333,-10.652775246672096,9.763265306122449
10,Ehma,1.0,1.5,724,1.0760095011876485,0.41770401106500693,0.04426002766251729,337,1.097938144329897,0.4226190476190476,0.05654761904761905,17.870669772589554,-0.11586995500524333,-21.05278178314779,4.050445103857567
13,Ehma,1.0,2.0,590,1.0757180156657964,0.34974533106960953,0.04923599320882852,267,1.1479289940828403,0.36466165413533835,0.09398496240601503,24.90060668377008,-0.11586995500524333,-22.680135534576085,5.681647940074907
8,Ehma,1.25,1.5,600,1.081896551724138,0.41903171953255425,0.04757929883138564,258,1.07,0.4163424124513619,0.04085603112840467,8.929550196261182,-0.11586995500524333,-12.280691777378205,7.093023255813954
13,Ehma,1.25,1.5,541,1.0796178343949046,0.4185185185185185,0.046296296296296294,247,1.0625,0.4146341463414634,0.036585365853658534,7.400012390918809,-0.11586995500524333,-14.887821542400758,6.267206477732794
13,Ehma,1.25,1.0,662,1.0623052959501558,0.5151057401812689,0.030211480362537766,288,1.0869565217391304,0.5208333333333334,0.041666666666666664,11.138088222653497,-0.11586995500524333,-15.024352764779836,4.076388888888889
26,Thma,1.5,1.5,392,1.0723684210526316,0.41687979539641945,0.04219948849104859,194,1.0619469026548674,0.41450777202072536,0.03626943005181347,5.696442321149742,-0.11586995500524333,-13.449534646504658,9.84020618556701
15,Thma,1.25,1.0,810,1.0585241730279897,0.5142150803461063,0.02843016069221261,362,1.136094674556213,0.5318559556786704,0.06371191135734072,23.60944408442065,-0.11586995500524333,-12.300535800422729,3.977900552486188
15,Ehma,2.0,1.0,369,1.0558659217877095,0.5135869565217391,0.02717391304347826,155,1.1690140845070423,0.538961038961039,0.07792207792207792,11.885250972568562,-0.11586995500524333,-7.725530557207982,12.793548387096774
20,Hma,1.0,1.5,645,1.0555555555555556,0.41304347826086957,0.03260869565217391,275,1.24,0.45255474452554745,0.13138686131386862,40.30347528519891,-0.11586995500524333,-11.131145598197023,4.2327272727272724
20,Thma,1.25,1.5,592,1.0547550432276658,0.4128595600676819,0.032148900169204735,260,1.1428571428571428,0.43243243243243246,0.08108108108108109,20.940104005829106,-0.11586995500524333,-10.666746680817262,6.507692307692308
15,Thma,1.25,1.5,641,1.053191489361702,0.4125,0.03125,268,1.1176470588235294,0.42696629213483145,0.06741573033707865,17.304207512737335,-0.11586995500524333,-10.099167376843976,7.138059701492537
8,Hma,1.0,2.0,740,1.060041407867495,0.34641407307171856,0.03924221921515562,320,1.0526315789473684,0.3448275862068966,0.034482758620689655,8.087274194586591,-0.11586995500524333,-19.292246837528715,5.821875
20,Hma,1.25,2.0,436,1.0526315789473684,0.3448275862068966,0.034482758620689655,180,1.2252252252252251,0.37988826815642457,0.13966480446927373,25.98483749759064,-0.11586995500524333,-14.147828450258071,11.344444444444445
15,Hma,1.25,1.5,588,1.0521739130434782,0.4122657580919932,0.030664395229982964,251,1.1223776223776223,0.428,0.07,16.869005419919425,-0.11586995500524333,-10.700131654348278,6.852589641434263
20,Hma,1.5,1.5,392,1.0837004405286343,0.4194373401534527,0.04859335038363171,183,1.0514018691588785,0.41208791208791207,0.03021978021978022,4.212302304697868,-0.11586995500524333,-16.270916507903756,10.830601092896174
26,Thma,1.25,2.0,443,1.0482758620689656,0.3438914027149321,0.03167420814479638,186,1.2173913043478262,0.3783783783783784,0.13513513513513514,25.909761722399516,-0.11586995500524333,-11.361512828387088,10.64516129032258
15,Thma,1.25,2.0,536,1.0835734870317002,0.3514018691588785,0.05420560747663551,225,1.0476190476190477,0.34375,0.03125,4.854441538109144,-0.11586995500524333,-12.951222644689487,9.582222222222223
15,Ehma,1.0,1.5,645,1.0460526315789473,0.4108527131782946,0.027131782945736434,284,1.3026315789473684,0.4647887323943662,0.1619718309859155,54.905613369166176,-0.11586995500524333,-13.611138865536866,3.943661971830986
13,Thma,1.25,2.0,533,1.1020408163265305,0.35526315789473684,0.06578947368421052,243,1.0440251572327044,0.34297520661157027,0.028925619834710745,4.667101413562369,-0.11586995500524333,-14.275671968421012,8.991769547325102
